offense_code,offense_name
213,"RAPE - FEMALE/MALE - FORCE - UNNATURAL ACT"
2201,"LIQUOR - INVOLVING MINORS"
2202,"LIQUOR - ILLEGAL SALES - KEEPING - EXPOSING"
2204,"LIQUOR LAW VIOLATION"
222,"RAPE - FEMALE ATTEMPT FORCE"
223,"RAPE - MALE - ATTEMPT FORCE"
224,"RAPE - FEMALE/MALE - ATTEMPT FORCE - UNNATURAL ACT"
230,"RAPE - FEMALE - ATTEMPT FORCE - UNDER 16"
231,"RAPE - MALE - ATTEMPT FORCE - UNDER 16"
232,"RAPE - FEMALE FORCE - UNDER 16"
233,"RAPE - FEMALE - FORCE UNDER 16 DSS/DA REFFERRAL"
234,"RAPE - MALE - FORCE - UNDER 16"
235,"RAPE - MALE - FORCE - UNDER 16 DSS/DA REFERRAL"
236,"RAPE - FEMALE - DRUGGING"
237,"RAPE - MALE - DRUGGING"
2401,"AFFRAY"
2403,"DISTURBING THE PEACE"
2405,"DISORDERLY CONDUCT"
2407,"ANNOYING AND ACCOSTING"
241,"RAPE - ATTEMPT - FORCIBLE"
242,"RAPE - ATTEMPT - SODOMY"
243,"RAPE - ATTEMPT - SEXUAL ASSAULT W/ OBJECT"
244,"RAPE - ATTEMPT - FONDLING"
251,"RAPE - COMPLETE - FORCIBLE"
2511,"KIDNAPPING - ENTICING OR ATTEMPTED"
252,"RAPE - COMPLETE - SODOMY"
253,"RAPE - COMPLETE - SEXUAL ASSAULT W/ OBJECT"
254,"RAPE - COMPLETE - FONDLING"
2602,"FIRE REPORT/ALARM - FALSE"
2604,"EXTORTION OR BLACKMAIL"
2605,"CONTRIBUTING TO DELINQUENCY OF MINOR"
2606,"PRISONER ATTEMPT TO RESCUE"
2608,"CHINS"
2609,"DRUGS - GLUE INHALATION"
261,"RAPE - ATTEMPT - OTHER"
2610,"TRESPASSING"
2611,"ABDUCTION - INTICING"
2612,"FIRE REPORT/ALARM - FALSE"
2613,"ANIMAL ABUSE"
2616,"POSSESSION OF BURGLARIOUS TOOLS"
2617,"CONSPIRACY EXCEPT DRUG LAW"
2618,"EXPLOSIVES - POSSESSION OR USE"
2619,"FUGITIVE FROM JUSTICE"
2622,"KIDNAPPING/CUSTODIAL KIDNAPPING"
2623,"OBSCENE MATERIALS - PORNOGRAPHY"
2624,"VAL - OPERATING W/O AUTHORIZATION LAWFUL"
2628,"OBSCENE PHONE CALLS"
2629,"HARASSMENT"
2631,"PROPERTY - CONCEALING LEASED"
2632,"EVADING FARE"
2633,"RUNAWAY"
2636,"PRISONER ESCAPE / ESCAPE & RECAPTURE"
2641,"VIOLATION - HAWKER AND PEDDLER"
2642,"TRUANCY / RUNAWAY"
2646,"LIQUOR - DRINKING IN PUBLIC"
2647,"THREATS TO DO BODILY HARM"
2648,"BOMB THREAT"
2650,"VIOLATION - AUTO RENTAL LAWS"
2651,"HARBOR - VIOL. REGS. & STATUTES"
2657,"VIOLATION - CITY ORDINANCE"
2658,"VIOLATION - HACKNEY REGS"
2660,"OTHER OFFENSE"
2662,"BALLISTICS EVIDENCE/FOUND"
2663,"VIOLATION - CITY ORDINANCE CONSTRUCTION PERMIT"
2664,"CUSTODIAL KIDNAPPING"
2665,"OTHER SERVICE/EVENT"
2667,"PRISONER - SUICIDE"
2668,"PRISONER - ESCAPE AND RECAPTURED"
2670,"CRIMINAL HARASSMENT"
2672,"BIOLOGICAL THREATS"
271,"RAPE - COMPLETE - OTHER"
2801,"PARKING VIOLATION"
2900,"VAL - VIOLATION OF AUTO LAW - OTHER"
2901,"VAL - FAILING TO SLOW - INTERSECTION"
2902,"VAL - DRIVING TO ENDANGER"
2903,"VAL - SPEEDING"
2904,"VAL - TRAFFIC SIGNALS"
2905,"VAL - OPERATING WITHOUT LICENSE"
2906,"VAL - OPERATING UNREG/UNINS  CAR"
2907,"VAL - OPERATING AFTER REV/SUSP."
2908,"M/V - LEAVING SCENE - PERSONAL INJURY"
2909,"VAL - M/V STICKER"
2910,"VAL - OPERATING AFTER REV/SUSP."
2911,"VAL - USING M/V W/O AUTHORITY UNLAWFUL"
2912,"VAL - M/V CURFEW RESTRICTING 16-18Y"
2913,"VAL - REFUSING TO STOP FOR POLICE"
2914,"VAL - OPERATING W/O AUTHORIZATION LAWFUL"
2915,"VAL - MISCELLANEOUS"
2916,"VAL - PEDESTRIAN LAW"
2917,"TOWED M/V FOR INVESTIGATION"
3001,"DEATH INVESTIGATION"
3002,"ANIMAL CONTROL - DOG BITES - ETC."
3004,"INJURY BICYCLE NO M/V INVOLVED"
3006,"SICK/INJURED/MEDICAL - PERSON"
3007,"SUDDEN DEATH"
3008,"SUICIDE / SUICIDE ATTEMPT"
3009,"SUICIDE ATTEMPT"
301,"ROBBERY - STREET"
3016,"FIREARM/WEAPON - ACCIDENTAL INJURY / DEATH"
3017,"FIREARM/WEAPON - ACCIDENTAL DEATH"
3018,"SICK/INJURED/MEDICAL - POLICE"
302,"ROBBERY - FIREARM - BUSINESS"
3021,"DRUGS - SICK ASSIST - HEROIN"
3022,"DRUGS - SICK ASSIST - OTHER NARCOTICS"
3023,"DRUGS - SICK ASSIST - HARMFUL DRUG"
3029,"PRISONER - SUICIDE / SUICIDE ATTEMPT"
303,"ROBBERY - FIREARM - CHAIN STORE"
304,"ROBBERY - FIREARM - GAS STATION"
3040,"DEATH INVESTIGATION"
305,"ROBBERY - FIREARM  - MISCELLANEOUS"
306,"ROBBERY - FIREARM - RESIDENCE"
307,"ROBBERY - FIREARM - STREET"
308,"ROBBERY - FIREARM - TAXI"
309,"ROBBERY - KNIFE - BANK"
310,"ROBBERY - KNIFE - BUSINESS"
3102,"INVESTIGATION FOR ANOTHER AGENCY"
3106,"PROPERTY - ACCIDENTAL DAMAGE"
3107,"EXPLOSIONS"
3108,"FIRE REPORT - HOUSE, BUILDING, ETC."
3109,"SERVICE TO OTHER PD INSIDE OF MA."
311,"ROBBERY - COMMERCIAL"
3110,"SERVICE TO OTHER PD OUTSIDE OF MA."
3111,"LICENSE PREMISE VIOLATION"
3112,"LANDLORD - TENANT SERVICE"
3114,"INVESTIGATE PROPERTY"
3115,"INVESTIGATE PERSON"
3116,"HARBOR INCIDENT / VIOLATION"
3117,"LABOR & STRIKE REPORT"
3119,"FIREARM/WEAPON - FOUND OR CONFISCATED"
312,"ROBBERY - KNIFE - GAS STATION"
3122,"AIRCRAFT INCIDENTS"
3123,"EXPLOSIVES - TURNED IN OR FOUND"
3125,"WARRANT ARREST"
313,"ROBBERY - KNIFE - MISCELLANEOUS"
3130,"SEARCH WARRANT"
314,"ROBBERY - KNIFE- RESIDENCE"
315,"ROBBERY - KNIFE - STREET"
3151,"HARASSING PHONE CALLS"
3152,"INVESTIGATION FOR ANOTHER AGENCY"
316,"ROBBERY - KNIFE - TAXI"
3160,"FIRE REPORT - CAR, BRUSH, ETC."
317,"ROBBERY - OTHER WEAPON - BANK"
3170,"INTIMIDATING WITNESS"
318,"ROBBERY - OTHER WEAPON - BUSINESS"
319,"ROBBERY - OTHER WEAPON - CHAIN STORE"
320,"ROBBERY - OTHER WEAPON - GAS STATION"
3201,"PROPERTY - LOST"
3202,"PROPERTY - LOST THEN LOCATED"
3203,"FIREARM/WEAPON - LOST"
3204,"FIREARM/WEAPON - LOST THEN LOCATED"
3205,"M/V PLATES - LOST"
3206,"M/V PLATES - LOST THEN LOCATED"
3207,"PROPERTY - FOUND"
3208,"PROPERTY - MISSING"
3209,"PROPERTY - MISSING THEN LOCATED"
321,"ROBBERY - OTHER WEAPON - MISCELLANEOUS"
3210,"PROPERTY - ABANDONED"
322,"ROBBERY - OTHER WEAPON - RESIDENCE"
323,"ROBBERY - OTHER WEAPON - STREET"
324,"ROBBERY - OTHER WEAPON - TAXI"
3301,"VERBAL DISPUTE"
3302,"GATHERING CAUSING ANNOYANCE"
3303,"NOISY PARTY/RADIO-ARREST"
3304,"NOISY PARTY/RADIO-NO ARREST"
3305,"DEMONSTRATIONS/RIOT"
333,"ROBBERY - UNARMED - BANK"
334,"ROBBERY - UNARMED - BUSINESS"
335,"ROBBERY - UNARMED - CHAIN STORE"
336,"ROBBERY - UNARMED - GAS STATION"
337,"ROBBERY - UNARMED - MISCELLANEOUS"
338,"ROBBERY - UNARMED - RESIDENCE"
339,"ROBBERY - UNARMED - STREET"
340,"ROBBERY - UNARMED - TAXI"
3402,"ANIMAL INCIDENTS"
3403,"PROTECTIVE CUSTODY / SAFEKEEPING"
3404,"ESCORT DUTY"
3408,"POLICE SERVICES - TRAFFIC ETC."
341,"ROBBERY ATTEMPT - FIREARM - BANK"
3410,"TOWED MOTOR VEHICLE"
3412,"LOCKOUT SERVICE"
3414,"PROTECTIVE CUSTODY - ALCOHOL"
342,"ROBBERY ATTEMPT - FIREARM - BUSINESS"
343,"ROBBERY ATTEMPT - FIREARM - CHAIN STORE"
344,"ROBBERY ATTEMPT - FIREARM - GAS STATION"
345,"ROBBERY ATTEMPT - FIREARM - MISCELLANEOUS"
346,"ROBBERY ATTEMPT - FIREARM - RESIDENCE"
347,"ROBBERY ATTEMPT - FIREARM - STREET"
348,"ROBBERY ATTEMPT - FIREARM - TAXI"
349,"ROBBERY ATTEMPT - KNIFE - BANK"
350,"ROBBERY ATTEMPT - KNIFE - BUSINESS"
3501,"MISSING PERSON"
3502,"MISSING PERSON - LOCATED"
3503,"MISSING PERSON - NOT REPORTED - LOCATED"
351,"ROBBERY - BANK"
352,"ROBBERY ATTEMPT - KNIFE - GAS STATION"
353,"ROBBERY ATTEMPT - KNIFE - MISCELLANEOUS"
354,"ROBBERY ATTEMPT - KNIFE - RESIDENCE"
355,"ROBBERY ATTEMPT - KNIFE - STREET"
356,"ROBBERY ATTEMPT - KNIFE - TAXI"
357,"ROBBERY ATTEMPT - OTHER WEAPON - BANK"
358,"ROBBERY ATTEMPT - OTHER WEAPON - BUSINESS"
359,"ROBBERY ATTEMPT - OTHER WEAPON - CHAIN STORE"
360,"ROBBERY ATTEMPT - OTHER WEAPON - GAS STATION"
361,"ROBBERY - OTHER"
3612,"RACIAL - RELIGIOUS REPORT"
362,"ROBBERY ATTEMPT - OTHER WEAPON - RESIDENCE"
3620,"REPORT AFFECTING OTHER DEPTS."
3625,"DANGEROUS OR HAZARDOUS CONDITION"
363,"ROBBERY ATTEMPT - OTHER WEAPON - STREET"
364,"ROBBERY ATTEMPT - OTHER WEAPON - TAXI"
3701,"M/V ACCIDENT - PROPERTY DAMAGE"
3702,"M/V ACCIDENT - PERSONAL INJURY"
3704,"M/V ACCIDENT - POLICE VEHICLE"
3706,"M/V ACCIIDENT - OTHER CITY VEHICLE"
3709,"M/V ACCIDENT - INVOLVING BICYCLE"
371,"ROBBERY - HOME INVASION"
3712,"M/V ACCIDENT - OTHER"
373,"ROBERRY ATTEMPT - UNARMED - BANK"
374,"ROBERRY ATTEMPT - UNARMED - BUSINESS"
375,"ROBERRY ATTEMPT - UNARMED - CHAIN STORE"
376,"ROBERRY ATTEMPT - UNARMED - GAS STATION"
377,"ROBERRY ATTEMPT - UNARMED - MISCELLANEOUS"
378,"ROBERRY ATTEMPT - UNARMED - RESIDENCE"
379,"ROBERRY ATTEMPT - UNARMED - STREET"
380,"ROBERRY ATTEMPT - UNARMED - TAXI"
3801,"M/V ACCIDENT - OTHER"
3802,"M/V ACCIDENT - PROPERTY  DAMAGE"
3803,"M/V ACCIDENT - PERSONAL INJURY"
3805,"M/V ACCIDENT - POLICE VEHICLE"
3807,"M/V ACCIDENT - OTHER CITY VEHICLE"
381,"ROBBERY - CAR JACKING"
3810,"M/V ACCIDENT - INVOLVING  BICYCLE - INJURY"
3811,"M/V ACCIDENT - INVOLVING BICYCLE - NO INJURY"
3820,"M/V ACCIDENT INVOLVING PEDESTRIAN - INJURY"
3821,"M/V ACCIDENT - INVOLVING PEDESTRIAN - NO INJURY"
3830,"M/V - LEAVING SCENE - PERSONAL INJURY"
3831,"M/V - LEAVING SCENE - PROPERTY DAMAGE"
401,"ASSAULT & BATTERY D/W - GUN"
402,"ASSAULT & BATTERY D/W - KNIFE"
403,"ASSAULT & BATTERY D/W - OTHER"
404,"A&B HANDS, FEET, ETC.  - MED. ATTENTION REQ."
411,"ASSAULT D/W - GUN"
412,"ASSAULT D/W - KNIFE"
413,"ASSAULT - AGGRAVATED - BATTERY"
421,"ASSAULT & BATTERY D/W - GUN ON POLICE OFFICER"
422,"ASSAULT & BATTERY D/W - KNIFE ON POLICE OFFICER"
423,"ASSAULT - AGGRAVATED"
424,"A&B HANDS, FEET, ETC. - PO MED. ATTENTION REQ."
431,"ASSAULT D/W - GUN ON POLICE OFFICER"
432,"ASSAULT D/W - KNIFE ON POLICE OFFICER"
433,"ASSAULT D/W - OTHER ON POLICE OFFICER"
510,"B&E RESIDENCE NIGHT - FORCE"
511,"B&E RESIDENCE NIGHT - ATTEMPT FORCE"
512,"B&E RESIDENCE NIGHT - NO FORCE"
517,"B&E RESIDENCE NIGHT - NO PROP TAKEN"
520,"BURGLARY - RESIDENTIAL - FORCE"
521,"BURGLARY - RESIDENTIAL - ATTEMPT"
522,"BURGLARY - RESIDENTIAL - NO FORCE"
527,"B&E RESIDENCE DAY - NO PROP TAKEN"
530,"B&E NON-RESIDENCE NIGHT - FORCE"
531,"B&E NON-RESIDENCE NIGHT - ATTEMPT FORCE"
532,"B&E NON-RESIDENCE NIGHT - NO FORCE"
537,"B&E NON-RESIDENCE NIGHT - NO PROP TAKEN"
540,"BURGLARY - COMMERICAL - FORCE"
541,"BURGLARY - COMMERICAL - ATTEMPT"
542,"BURGLARY - COMMERICAL - NO FORCE"
543,"B&E NON-RESIDENCE DAY - NO PROP TAKEN"
547,"B&E NON-RESIDENCE DAY - NO PROP TAKEN"
560,"BURGLARY - OTHER - FORCE"
561,"BURGLARY - OTHER - ATTEMPT"
562,"BURGLARY - OTHER - NO FORCE"
611,"LARCENY PICK-POCKET"
612,"LARCENY PURSE SNATCH - NO FORCE"
613,"LARCENY SHOPLIFTING"
614,"LARCENY THEFT FROM MV - NON-ACCESSORY"
615,"LARCENY THEFT OF MV PARTS & ACCESSORIES"
616,"LARCENY THEFT OF BICYCLE"
617,"LARCENY THEFT FROM BUILDING"
618,"LARCENY THEFT FROM COIN-OP MACHINE"
619,"LARCENY ALL OTHERS"
621,"LARCENY PICK-POCKET $50 TO $199"
622,"LARCENY PURSE SNATCH INCL.NO FORCE $50 TO $199"
623,"LARCENY SHOPLIFTING $50 TO $199"
624,"LARCENY NON-ACCESSORY FROM VEH. $50 TO $199"
625,"LARCENY VEH. ACCESSORY $50 & $199"
626,"LARCENY BICYCLE $50 TO $199"
627,"LARCENY IN A BUILDING $50 TO $199"
628,"LARCENY FROM COIN MACHINE $50 TO $199"
629,"LARCENY OTHER $50 TO $199"
631,"LARCENY PICK-POCKET UNDER $50"
632,"LARCENY PURSE SNATCH INCL.NO FORCE UNDER $50"
633,"LARCENY SHOPLIFTING UNDER $50"
634,"LARCENY NON-ACCESSORY FROM VEH. UNDER $50"
635,"LARCENY VEH. ACESSORY UNDER $50"
636,"LARCENY BICYCLE UNDER $50"
637,"LARCENY IN A BUILDING UNDER $50"
638,"LARCENY FROM COIN MACHINE UNDER $50"
639,"LARCENY OTHER UNDER $50"
649,"LARCENY MOTOR VEHICLE PLATES"
670,"RECOVERED STOLEN PLATE"
701,"AUTO THEFT TRUCK - RECOVERED IN BY POLICE"
702,"AUTO THEFT TRUCK - RECOVERED IN BY OTHER"
704,"AUTO THEFT TRUCK"
706,"AUTO THEFT - MOTORCYCLE / SCOOTER"
711,"AUTO THEFT OTHER - RECOVERED IN BY POLICE"
712,"AUTO THEFT OTHER - RECOVERED IN BY OTHER"
713,"AUTO THEFT OTHER - RECOVERED OUTSIDE"
714,"AUTO THEFT OTHER"
715,"AUTO THEFT OTHER - OUTSIDE RECOVERED IN BOS"
723,"ATTEMPTED AUTO THEFT"
724,"AUTO THEFT"
727,"AUTO THEFT - LEASED/RENTED VEHICLE"
735,"RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON)"
770,"AUTO THEFT - RECOVERED IN BY POLICE"
780,"AUTO THEFT - RECOVERED IN BY OTHER"
790,"AUTO THEFT - RECOVERED OUTSIDE"
801,"ASSAULT - SIMPLE"
802,"ASSAULT SIMPLE - BATTERY"
803,"A&B ON POLICE OFFICER"
804,"STALKING"
900,"ARSON"
901,"ARSON - SINGLE DWELLING"
902,"ARSON - MULTIPLE DWELLING"
905,"ARSON - OTHER COMMERCIAL"
906,"ARSON - COMMUNITY/PUB.STRUC."
907,"ARSON - ALL OTHER STRUCTURES"
920,"ARSON - MOTOR VEHICLES"
930,"ARSON - OTHER"
